,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
128,N/A,2/14/2019 1:20 PM,Verbal Warning,Female,Traffic Sign/Signal,5000 S. Lake Park Ave.,African American,Disobeyed Traffic Control Signal,No
129,N/A,2/14/2019 2:43 PM,Verbal Warning,Female,Traffic Sign/Signal,5500 S. Kimbark,Caucasian,"Failure to Yield to Pedestrian in
Crosswalk",No
130,N/A,2/14/2019 4:06 PM,Verbal Warning,Female,Lane Violation,6300 S. Ingleside,African American,Improper Lane Usage,No
131,N/A,2/15/2019 3:09 PM,Verbal Warning,Female,Lane Violation,5400 S. University,Caucasian,improper turn,No
132,N/A,2/15/2019 3:23 PM,Verbal Warning,Male,Traffic Sign/Signal,Midway Plaisance/Woodlawn,Hispanic,disobey redlight,No
133,One Citation Issued,2/15/2019 9:52 PM,Citation Issued,Male,Lane Violation,5300 Ingleside,African American,Wrong way on a one way,No
134,N/A,2/16/2019 9:55 AM,Verbal Warning,Male,Speed,Midway Plaisance/Dorchester,African American,speeding (lidar),No
135,N/A,2/16/2019 1:03 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S. Kenwood,Asian,disobey  traffic control  device,No
136,N/A,2/16/2019 3:03 PM,Verbal Warning,Male,Speed,Midway  Plaisance/Dorchester,African  American,speeding (lidar),No
137,N/A,2/16/2019 3:27 PM,Verbal Warning,Female,Speed,Midway  Plaisance/University,African  American,speeding (lidar),No
138,N/A,2/16/2019 4:00 PM,Verbal Warning,Male,Speed,Midway  Plaisance/ Woodlawn,African  American,speeding (lidar),No
139,N/A,2/16/2019 5:14 PM,Verbal Warning,Female,Traffic Sign/Signal,1170 E. 57th St,Caucasian,disobey traffic control device,No
140,N/A,2/17/2019 1:47 PM,Verbal Warning,Female,Traffic Sign/Signal,940 E. 57TH ST,African American,disobey stopsign,No
141,N/A,2/17/2019 2:59 PM,Verbal Warning,Male,Traffic Sign/Signal,940 E. 57TH ST,Caucasian,disobey stopsign,No
142,One Citation Issued,2/17/2019 7:46 PM,Citation Issued,Male,Traffic Sign/Signal,5500 Kenwood,African American,Failed to stop at sign,No
143,N/A,2/17/2019 9:31 PM,Verbal Warning,Female,Equipment,5000 Cornell,African American,No headlights,No
144,N/A,2/17/2019 9:56 PM,Verbal Warning,Male,Equipment,1332 E. Hyde Park,African American,No Headlights,No
